institutionFull,include,institutionShort,institutionURL,program,subject,dateStart,dateEnd,notes
Eastside High School,FALSE,EHS,https://www.sbac.edu/eastside,International Baccalaureate,,1999-08-01,2003-05-01,
University of Florida,FALSE,UF,uf.edu,non-degree study,,2001-05-01,2003-12-01,Focus on mathematics
Royal Melbourne Institute of Technology,TRUE,RMIT,rmit.edu.au,BDes,industrial design,2004-03-01,2007-12-01,With first class honors
Zhejiang University,TRUE,ZJU,,exchange student,industrial design,2006-01-01,2006-12-01,
Korea Advanced Institute of Science and Technology,TRUE,KAIST,kaist.ac.kr,MS,industrial design,2009-02-01,2010-12-24,Under [Youn-kyung Lim](http://cixd.kaist.ac.kr) & [Tek-Jin Nam](http://cidr.kaist.ac.kr)
Carnegie Mellon University,TRUE,CMU,CMU.edu,PhD,mechanical engineering,2013-01-01,2017-07-28,"Under [Jon Cagan](http://www.cmu.edu/me/idig/index.html) & [Phil R. Leduc](http://www.andrew.cmu.edu/user/prl), with [Manuela M. Veloso](https://www.cs.cmu.edu/%7Emmv) & [Yongjie Jessica Zhang](https://www.meche.engineering.cmu.edu/faculty/zhang.html) on the committee"
Stanford,TRUE,,stanford.edu,postdoc,computer science,2017-08-22,,Under [Michael S. Bernstein](http://hci.stanford.edu/msb/) in the [HCI group](http://hci.stanford.edu)
